[1.00003, 1.00002, 1.00001, 1.00002, 1.00001, 1.00001, ],
[1, 0.999999, 1.00001, 1, 1.00001, 1, ],
[1.00004, 1.00004, 1.00003, 1.00006, 1.00005, 1.00008, ],
[1.00235, 1.00268, 1.00278, 1.00251, 1.00249, 1.00223, ],
[1.00285, 1.0026, 1.00235, 1.0028, 1.00255, 1.00253, ],
[1.00223, 1.00258, 1.00282, 1.00263, 1.00278, 1, ],
[1.00303, 1.00274, 1.00253, 1.00296, 1.00271, 1.00269, ],
[1.00325, 1.00297, 1.00269, 1.00315, 1.00291, 1.00295, ],
[1.0035, 1.00321, 1.00295, 1.0034, 1.00313, 1.00321, ],
[1.00152, 1.00136, 1.00119, 1.00157, 1.00138, 1.00159, ],
[1.00122, 1.00121, 1.00119, 1.00104, 1.00104, 1.00088, ],
[1.00198, 1.00194, 1.00188, 1.00174, 1.00171, 1.00152, ],
[1.00088, 1.00074, 1.00061, 1.00088, 1.00073, 1.00088, ],
[1.00237, 1.00231, 1.00224, 1.00211, 1.00206, 1.00188, ],
[1.00039, 1.00047, 1.00057, 1.0005, 1.00059, 1.00061, ],
[1.00022, 1.00026, 1.00032, 1.0003, 1.00036, 1.00039, ],
[1.00282, 1.00271, 1.00258, 1.00252, 1.00241, 1.00224, ],
[1.00327, 1.00311, 1.00293, 1.00292, 1.00277, 1.00258, ],
[1.00357, 1.00341, 1.00323, 1.00324, 1.0031, 1.00293, ],
[1.00384, 1.0037, 1.00351, 1.00353, 1.00339, 1.00323, ],
[1.00015, 1.00011, 1.00008, 1.00013, 1.00009, 1.00011, ],
[1.00015, 1.00013, 1.00011, 1.00019, 1.00016, 1.00022, ],
[1.00378, 1.00349, 1.00321, 1.00367, 1.0034, 1.00351, ],
[1.00001, 1.00002, 1.00003, 1.00001, 1.00002, 1.00001, ],
[1, 1, 1, 0.999999, 1.00001, 1.00001, ],
[1.00008, 1.00005, 1.00003, 1.00006, 1.00004, 1.00004, ],
[1.00285, 1.0028, 1.00278, 1.0026, 1.00268, 1.00235, ],
[1.00223, 1.00248, 1.00278, 1.00258, 1.0028, 1.00282, ],
[1.00285, 1.0028, 1.00253, 1.003, 1.00274, 1.00303, ],
[1, 1.00278, 1.00282, 1, 1.00305, 1, ],
[1.00325, 1.00316, 1.00303, 1.00297, 1.00296, 1.00269, ],
[1.0035, 1.00341, 1.00325, 1.00321, 1.00315, 1.00295, ],
[1.00378, 1.00366, 1.0035, 1.00349, 1.0034, 1.00321, ],
[1.00159, 1.00138, 1.00119, 1.0014, 1.00121, 1.00122, ],
[1.00198, 1.00174, 1.00152, 1.00179, 1.00157, 1.00159, ],
[1.00122, 1.00104, 1.00088, 1.00104, 1.00088, 1.00088, ],
[1.00198, 1.00218, 1.00237, 1.00194, 1.00211, 1.00188, ],
[1.00061, 1.00059, 1.00057, 1.00073, 1.00072, 1.00088, ],
[1.00237, 1.0026, 1.00282, 1.00231, 1.00252, 1.00224, ],
[1.00032, 1.00044, 1.00057, 1.00036, 1.00047, 1.00039, ],
[1.00014, 1.00022, 1.00032, 1.00019, 1.00026, 1.00022, ],
[1.00282, 1.00305, 1.00327, 1.00271, 1.00292, 1.00258, ],
[1.00327, 1.00344, 1.00357, 1.00311, 1.00324, 1.00293, ],
[1.00357, 1.00372, 1.00384, 1.00341, 1.00353, 1.00323, ],
[1.00384, 1.00399, 1.0041, 1.0037, 1.0038, 1.00351, ],
[1.00011, 1.00009, 1.00008, 1.00007, 1.00006, 1.00004, ],
[1.00011, 1.00012, 1.00014, 1.00016, 1.00019, 1.00022, ],
[1.0041, 1.00396, 1.00378, 1.0038, 1.00367, 1.00351, ],
[1.00004, 1.00004, 1.00003, 1.00002, 1.00002, 1.00001, ],
[1, 1, 1.00001, 1.00001, 1.00001, 1.00001, ],
[1, 1, 1, 1, 1, 1, ],
[1.00325, 1.00305, 1.00278, 1.00307, 1.0028, 1.00285, ],
[1.00282, 1.0028, 1.00278, 1.00304, 1.00305, 1.00325, ],
[1.00341, 1.00314, 1.00285, 1.00322, 1.003, 1.00303, ],
[1, 1.00305, 1.00282, 1.00324, 1.0031, 1.00336, ],
[1.00325, 1.00343, 1.00354, 1.00316, 1.0033, 1.00303, ],
[1.0035, 1.00366, 1.00381, 1.00341, 1.00351, 1.00325, ],
[1.00378, 1.00393, 1.00405, 1.00366, 1.00378, 1.0035, ],
[1.00163, 1.00162, 1.00159, 1.00141, 1.0014, 1.00122, ],
[1.00206, 1.00203, 1.00198, 1.00181, 1.00179, 1.00159, ],
[1.00122, 1.00104, 1.00088, 1.00122, 1.00103, 1.00121, ],
[1.00198, 1.00221, 1.00246, 1.00218, 1.00242, 1.00237, ],
[1.00057, 1.00068, 1.00082, 1.00072, 1.00086, 1.00088, ],
[1.00237, 1.00259, 1.00283, 1.0026, 1.00283, 1.00282, ],
[1.00032, 1.00038, 1.00045, 1.00044, 1.00052, 1.00057, ],
[1.00018, 1.00025, 1.00032, 1.00016, 1.00022, 1.00014, ],
[1.00282, 1.0031, 1.00339, 1.00305, 1.00334, 1.00327, ],
[1.00327, 1.00361, 1.00397, 1.00344, 1.00378, 1.00357, ],
[1.00357, 1.00389, 1.00422, 1.00372, 1.00404, 1.00384, ],
[1.00384, 1.00416, 1.00448, 1.00399, 1.00431, 1.0041, ],
[1.00011, 1.00007, 1.00004, 1.00007, 1.00004, 1.00003, ],
[1.00011, 1.00007, 1.00003, 1.00012, 1.00008, 1.00014, ],
[1.0041, 1.00425, 1.00437, 1.00396, 1.00407, 1.00378, ],
[0.999969, 1.00001, 1.00004, 0.999992, 1.00002, 1.00001, ],
[1, 1, 0.99999, 1, 0.999998, 1.00001, ],
[0.999987, 1, 1, 1, 1, 1, ],
[1.00341, 1.00328, 1.00325, 1.00314, 1.00307, 1.00285, ],
[1.00282, 1.00304, 1.00325, 1.0031, 1.00334, 1.00336, ],
[1.00354, 1.00347, 1.00341, 1.0033, 1.00322, 1.00303, ],
[1, 1.00324, 1.00336, 1, 1.00352, 1, ],
[1.00325, 1.00351, 1.00381, 1.00343, 1.00367, 1.00354, ],
[1.00405, 1.00392, 1.00381, 1.00378, 1.00366, 1.0035, ],
[1.00378, 1.00407, 1.00437, 1.00393, 1.00422, 1.00405, ],
[1.00163, 1.00185, 1.00206, 1.00162, 1.00181, 1.00159, ],
